Title	Authors
PaRaChute: Pathology-Radiology Cross-Modal Fusion for Missing-Modality-Robust Survival Prediction	Pietro Caforio , Isabella Poles , Marco Santambrogio
BAFLE-DCT: Bypassing Adversarial Filters via Frequency-Selective Embedding in the DCT Domain	Balapuwaduge Mendis , Farah Kandah , Sathya Aakur
MapleGrasp: Mask-guided Feature Pooling for Language-driven Efficient Robotic Grasping	Vineet Bhat , Naman Patel , Prashanth Krishnamurthy , Ramesh Karri , Farshad Khorrami
Real-Time Tracking of Flexible Markers in Low-Contrast Fluoroscopy Using a Deep Neural Network Trained Solely on Synthetic Data	Tomoki Uchiyama , Yukinobu Sakata , Ryusuke Hirai , Hitoshi Ishikawa , Shinichiro Mori
From Cognitive Priors to Instance Semantics: A Unified Framework for Multi-task Affective Computing	Guanyu Hu , Dimitrios Kollias , Xinyu Yang
ITSELF: Attention Guided Fine-Grained Alignment for Vision–Language Retrieval	TIEN-HUY NGUYEN , Huu-Loc Tran , Thanh Ngo
Detecting Out-of-Distribution Objects through Class-Conditioned Inpainting	Quang-Huy Nguyen , Jin Peng Zhou , Zhenzhen Liu , Khanh-Huyen Bui , Kilian Weinberger , Wei-Lun Chao , Dung Le
Gaussian Representations for Video	Sachin Shah , Anustup Choudhury , Guan-Ming Su , Jaclyn Pytlarz , Christopher Metzler , Trisha Mittal
Learning Mask-Aware Offsets: Two-branch Deformable Attention Networks for Inpainting with Masked Region Avoidance	Hyeongseok Oh , Joonki Paik
TiCLS : Tightly Coupled Language Text Spotter	Leeje Jang , Yijun Lin , Yao-Yi Chiang , Jerod Weinman
ODEt(ODEl): Shortcutting the Time and the Length in Diffusion and Flow Models for Faster Sampling	Denis Gudovskiy , Wenzhao Zheng , Tomoyuki Okuno , Yohei Nakata , Kurt Keutzer
JOCA: Task-Driven Joint Optimisation of Camera Hardware and Adaptive Camera Control Algorithms	Chengyang Yan , Mitch Bryson , Donald Dansereau
AUTOCORRELATION-BASED FIDUCIAL MARKERS FOR TRACEABILITY	BENCHEIKH ISMAIL , Max Dunitz , Marie d'Autume , Marc Pic , Enric Meinhardt-Llopis , Gabriele Facciolo , Pablo Musé
QC-SF: Improving Computer Vision for Airborne LiDAR Point Clouds of Boreal Forests with Quebec Simulated Forest Dataset	Olivier Stocker , Reza Mahmoudi Kouhi , Omid Reisi Gahrouei , Thierry Badard , Eric Guilbert
ControlEvents: Controllable Synthesis of Event Camera Data with Foundational Prior from Image Diffusion Models	Yixuan Hu , Yuxuan Xue , Simon Klenk , Daniel Cremers , Gerard Pons-Moll
CONCORD: Concept-Informed Diffusion for Dataset Distillation	Jianyang Gu , Haonan Wang , Ruoxi Jia , Saeed Vahidian , Vyacheslav Kungurtsev , Wei Jiang , Yiran Chen
Detection-Driven Object Count Optimization for Text-to-Image Diffusion Models	Oz Zafar , Yuval Cohen , Lior Wolf , Idan Schwartz
Uplifting Table Tennis: A Robust, Real-World Application for 3D Trajectory and Spin Estimation	Daniel Kienzle , Katja Ludwig , Julian Lorenz , Shin'ichi Satoh , Rainer Lienhart
A framework for real-time Surgical Phase Recognition with application to Robot-Assisted Partial Nephrectomy	Marco Mezzina , Tom Vercauteren , Tinne Tuytelaars , Matthew Blaschko
A Novel Metric for Detecting Memorization in Generative Models for Brain MRI Synthesis	Antonio Scardace , Lemuel Puglisi , Francesco Guarnera , Sebastiano Battiato , Daniele Ravi
Automated Pore Detection from In-Situ FDM 3D Printing Video: A Comparative Evaluation of Modern Segmentation Models	Abdullah Al Ahad Khan , Md Islam , Lin Li , Lai Jiang , Noushin Ghaffari
Latent Uncertainty-Aware Multi-View SDF Scan Completion	Faezeh Zakeri , Lukas Ruppert , Raphael Braun , Hendrik Lensch
UnderWater SLAM with Laser-light sectioning method using ST-GAT	Heyang Gao , Kazuto Ichimaru , Takafumi Iwaguchi , Hiroshi Kawasaki
START: Spatial and Textual Learning for Chart Understanding	Zhuoming Liu , Xiaofeng Gao , Feiyang Niu , Qiaozi Gao , Liu Liu , Robinson Piramuthu
Global Focal and Radial Distortion Averaging from Radial Fundamental Matrices for Robust Self-Calibration	Sergei Solonets , Daniil Sinitsyn , Daniel Cremers
Hymavi : A Hybrid Mamba-Attention Network in Multi-View Framework for Volumetric Medical Image Segmentation	Sy Tran , Jin Kyu Gahm
Mitigating the Modality Gap: Few-Shot Out-of-Distribution Detection with Multi-modal Prototypes and Image Bias Estimation	Yimu Wang , Evelien Riddell , Adrian Chow , Sean Sedwards , Krzysztof Czarnecki
DOODLE: Diffusion-based Out-of-Distribution Learning for Open-set LiDAR Semantic Segmentation	Changgyoon Oh , Hyeonseong Kim , Daehyun We , Jongoh Jeong , Yujeong Chae , Kuk-Jin Yoon
Leveraging Pretrained Representations for Cross-Modal Point Cloud Completion	Kshitij Kale , Hrishikesh U , V Sreenidhe , Shylaja S
CropAT: Leveraging Diffusion-Generated Target-Like Cropped Objects for Pseudo-Label Refinement in Domain-Adaptive Object Detection	Chen-Che Huang , Tzuhsuan Huang , Jun-Cheng Chen
Ordinal-Aware Multimodal Engagement Recognition for Collaborative Learning	Nha Tran , Dat Ly , Phi Ta , Hung Nguyen , Hien Nguyen
Action Anticipation at a Glimpse: To What Extent Can Multimodal Cues Replace Video?	Manuel Benavent-Lledo , Konstantinos Bacharidis , Victoria Manousaki , Konstantinos Papoutsakis , Antonis Argyros , José García-Rodríguez
Optimization-Free Style Transfer for 3D Gaussian Splats	Raphael DuSablon , David Hart
GateFusion: Hierarchical Gated Cross-Modal Fusion for Active Speaker Detection	Yu Wang , Juhyung Ha , Frangil Ramirez , Yuchen Wang , David Crandall
FreeCond: Free Lunch in the Input Conditions of Text-Guided Inpainting	Teng-Fang Hsiao , Bo-Kai Ruan , Sung-Lin Tsai , Yi-Lun Wu , Hong-Han Shuai
AFRAgent : An Adaptive Feature Renormalization Based High Resolution Aware GUI agent	Neeraj Anand , Rishabh Jain , Sohan Patnaik , Balaji Krishnamurthy , Mausoom Sarkar
MomentMix Augmentation with Length-Aware DETR for Temporally Robust Moment Retrieval	Seojeong Park , Jiho Choi , Kyungjune Baek , Hyunjung Shim
Learning Group Actions In Disentangled Latent Image Representations	Farhana Hossain Swarnali , Miaomiao Zhang , TONMOY HOSSAIN
Context-Preserving Dermoscopic Editing: Mask-Guided Lesion-Aware Diffusion for Attribute Modification	Tao Sun , Yun Jiang , Yarong Jin , Huanting Guo , Zequn Zhang
WarpRF: Multi-View Consistency for Training-Free Uncertainty Quantification and Applications in Radiance Fields	Sadra Safadoust , Fabio Tosi , Fatma Güney , Matteo Poggi
Trajectory Tactics: When Transformers Learn  Exploration to Generate Online Signature	Anurag Pandey , Aditya Nigam , Arnav Bhavsar , Ashutosh Sharma , Basu Verma , Divya Acharya , Mohd Amir
Sketch-guided Cage-based 3D Gaussian Splatting Deformation	Tianhao Xie , Noam Aigerman , Eugene Belilovsky , Tiberiu Popa
Denoise, Divide, Distill, and Predict (D3P): Towards Forecasting Long-horizon Real-world Anomaly from Normalcy	Quentin Mérilleau , Snehashis Majhi , Antitza Dantcheva , Quan Kong , Lorenzo Garattoni , Gianpiero Francesca , Francois Bremond
DMAT: An End-to-End Framework for Joint Atmospheric Turbulence Mitigation and Object Detection	Paul Hill , Zhiming Liu , Alin Achim , David Bull , Nantheera Anantrasirichai
Cluster-based Pseudo-labeling for Semi-Supervised LiDAR Semantic Segmentation	Qingju Guo , Shuang Li , Jing Geng , Binhui Xie , Jiawei Shan , Wei Li
Semantic Map Guided Bird's-Eye View Learning for Online HD Map Construction	Huantao Ren , Hesham Eraqi , ABM Musa , Mohamed Moustafa
KD360-VoxelBEV: LiDAR and 360-degree Camera Cross Modality Knowledge Distillation for Bird’s-Eye-View Segmentation	Wenke E , Yixin Sun , Jiaxu Liu , Hubert P. H. Shum , Amir Atapour-Abarghouei , Toby Breckon
SCAdapter: Content-Style Disentanglement for Diffusion Style Transfer	Meryem Taşyürek , Tuğçe Kızıltepe , Hacer Keles
Disentangle and Regularize: Sign Language Production with Articulator-Based Disentanglement and Channel-Aware Regularization	Meryem Taşyürek , Tuğçe Kızıltepe , Hacer Keles
