Title	Authors
MMCM: Multimodality-aware Metric using Clustering-based Modes for Probabilistic Human Motion Prediction	Kyotaro Tokoro , Hiromu Taketsugu , Norimichi Ukita
PaRaChute: Pathology-Radiology Cross-Modal Fusion for Missing-Modality-Robust Survival Prediction	Pietro Caforio , Isabella Poles , Marco Santambrogio
3DSceneEditor: Controllable 3D Scene Editing with Gaussian Splatting	Ziyang Yan , Yihua Shao , Minwen Liao , Siyu Chen , Nan Wang , Muyuan Lin , Jenq-Neng Hwang , Hao Zhao , Fabio Remondino , Lei Li
Alignment and Distillation: A Robust Framework for Multimodal Domain Generalizable Human Action Recognition	Hyeonbin Ji , Juyeob Lee , Eunil Park
BAFLE-DCT: Bypassing Adversarial Filters via Frequency-Selective Embedding in the DCT Domain	Balapuwaduge Mendis , Farah Kandah , Sathya Aakur
Grounding Descriptions in Images informs Zero-Shot Visual Recognition	Shaunak Halbe , Junjiao Tian , Joseph J , James Smith , Katherine Stevo , Vineeth Balasubramanian , Zsolt Kira
Joint Optimization of Camera Model and Deep Neural Network for Image Recognition	Youta Noboru , Yuko Ozasa , Masayuki Tanaka
Low-Rank Expert Merging for Multi-Source Domain Adaptation in Person Re-Identification	Taha Mustapha Nehdi , Nairouz Mrabah , ATIF BELAL , Marco Pedersoli , Eric Granger
SasMamba: A Lightweight Structure-Aware Stride State Space Model for 3D Human Pose Estimation	Hu Cui , Wenqiang Hua , Renjing Huang , ShuRui Jia , Tessai Hayama
The Perceptual Observatory Characterizing Robustness and Grounding in MLLMs	Tejas Anvekar , Fenil Bardoliya , Pavan Turaga , Chitta Baral , Vivek Gupta
Procedure Learning via Regularized Gromov-Wasserstein Optimal Transport	Syed Mahmood , Ali Ali , Umer Ahmed , Fawad Fateh , Zeeshan Zia , Quoc-Huy Tran
Optimal Transport for Rectified Flow Image Editing: Unifying Inversion-Based and Direct Methods	Marian Lupaşcu , Mihai-Sorin Stupariu
PRISM-CAFO: Prior-conditioned Remote-sensing Infrastructure Segmentation and Mapping for CAFOs	Oishee Bintey Hoque , Nibir Mandal , Kyle Luong , Mandy Wilson , Samarth Swarup , Madhav Marathe , Abhijin Adiga
Diffusion Noise Optimization for Synthetic VLM Training	Ren Ohkubo , Rintaro Yanagi , Hirokatsu Kataoka , Yutaka Satoh
MapleGrasp: Mask-guided Feature Pooling for Language-driven Efficient Robotic Grasping	Vineet Bhat , Naman Patel , Prashanth Krishnamurthy , Ramesh Karri , Farshad Khorrami
Multi-view stereo with multiple projectors for oneshot entire shape scan based on Neural SDF and DSSS demultiplexing	Kota Nishihara , Ryo Furukawa , Ryusuke Sagawa , Hiroshi Kawasaki
Interaction-via-Actions: Cattle Interaction Detection with Joint Learning of Action-Interaction Latent Space	Ren Nakagawa , Yang Yang , Risa Shinoda , Hiroaki Santo , Kenji Oyama , Fumio Okura , Takenao Ohkawa
1LoRA: Summation Compression for Very-Low Rank Adaptation	Alessio Quercia , Zhuo Cao , Arya Bangun , Richard Paul , Abigail Morrison , Ira Assent , Hanno Scharr
Real-Time Tracking of Flexible Markers in Low-Contrast Fluoroscopy Using a Deep Neural Network Trained Solely on Synthetic Data	Tomoki Uchiyama , Yukinobu Sakata , Ryusuke Hirai , Hitoshi Ishikawa , Shinichiro Mori
Event-based Graph Representation with Spatial and Motion Vectors for Asynchronous Object Detection	Aayush Verma , Arpitsinh Vaghela , Bharatesh Chakravarthi , Kaustav Chanda , “YZ” Yezhou Yang
SGPMIL: Sparse Gaussian Process Multiple Instance Learning	Andreas Lolos , Stergios Christodoulidis , Aris Moustakas , Jose Dolz , Maria Vakalopoulou
DocWaveDiff: A Predict-and-Refine approch for Document Image Enhancement with Wavelet U-Nets and Diffusion models	Matteo Marulli , Marco Bertini
CAST: Evaluating Multi-Object Trackers with Context-Aware Switch and Transfer Scores	Jin Bai , Gregory Hager
FARF-Net: Frequency-guided Adaptive Receptive Field Network for Edge-enhanced Polyp Segmentation	Xue Li , Aiwen Jiang , Hongqian Yu , Xiao Yang
Subspace-Guided Knowledge Distillation for Efficient Model Transfer	Zeeshan Hayder , Ali Cheraghian , Lars Petersson , Mehrtash Harandi
Unified Control for Inference-Time Guidance of Denoising Diffusion Models	Maurya Goyal , Anuj Singh , Hadi Rad
SceneEval: Evaluating Semantic Coherence in Text-Conditioned 3D Indoor Scene Synthesis	Hou In Ivan Tam , Hou In Derek Pun , Austin Wang , Angel Chang , Manolis Savva
InteracTalker: Prompt-Based Human-Object Interaction with Co-Speech Gesture Generation	Sreehari Rajan , Kunal Bhosikar , Charu Sharma
From Cognitive Priors to Instance Semantics: A Unified Framework for Multi-task Affective Computing	Guanyu Hu , Dimitrios Kollias , Xinyu Yang
ITSELF: Attention Guided Fine-Grained Alignment for Vision–Language Retrieval	TIEN-HUY NGUYEN , Huu-Loc Tran , Thanh Ngo
Detecting Out-of-Distribution Objects through Class-Conditioned Inpainting	Quang-Huy Nguyen , Jin Peng Zhou , Zhenzhen Liu , Khanh-Huyen Bui , Kilian Weinberger , Wei-Lun Chao , Dung Le
Image-Guided Semantic Pseudo-LiDAR Point Generation for 3D Object Detection	MINSEUNG LEE , Seokha Moon , Seung Lee , Reza Mahjourian , Jinkyu Kim
BrandFusion: Aligning Image Generation with Brand Styles	Parul Gupta , Varun Khurana , Yaman Singla , Balaji Krishnamurthy , Abhinav Dhall
Structured Context Learning for Generic Event Boundary Detection	Xin Gu , Congcong Li , Xinyao Wang , Dexiang Hong , Libo Zhang , Tiejian Luo , Longyin Wen , Heng Fan
MooTrack360: A Novel Fisheye Camera Dataset for Robust Multi Diary Cow Detection and Tracking	Rasmus Christiansen , Toan Nguyen , Lasse Malskær , Leon Bodenhagen , Dirk Kraft
Gaussian Representations for Video	Sachin Shah , Anustup Choudhury , Guan-Ming Su , Jaclyn Pytlarz , Christopher Metzler , Trisha Mittal
SVD-Det: A Lightweight Framework for Video Forgery Detection Using Semantic and Visual Defect Cues	Tsung-Shan Yang , Tianyu Zhang , Feng Qian , Bing Yan , Chung Chieh Kuo
Generalized Category Discovery for LiDAR Semantic Segmentation	Minseok Kim , Jiyong Boo , Kuk-Jin Yoon
Lose Your Self (LoYS): an adversarial entropy-based unsupervised approach for model debiasing	Vito Paolo Pastore , Massimiliano Ciranni , Vittorio Murino
Learning Mask-Aware Offsets: Two-branch Deformable Attention Networks for Inpainting with Masked Region Avoidance	Hyeongseok Oh , Joonki Paik
TiCLS : Tightly Coupled Language Text Spotter	Leeje Jang , Yijun Lin , Yao-Yi Chiang , Jerod Weinman
EmojiDiff: Advanced Facial Expression Control with High Identity Preservation in Portrait Generation	Liangwei Jiang , Ruida Li , Zhifeng Zhang , Shuo Fang , Chenguang Ma
Towards Reliable Test-Time Adaptation: Style Invariance as a Correctness Likelihood	Gilhyun Nam , Taewon Kim , Joonhyun Jeong , Eunho Yang
4D Multimodal Co-attention Fusion Network with Latent Contrastive Alignment for Alzheimer's Diagnosis	YUXIANG WEI , Yanteng Zhang , Xi Xiao , Tianyang Wang , Xiao Wang , Vince Calhoun
DNA: Dual-branch Network with Adaptation for Open-Set Online Handwriting Generation	Tsai-Ling Huang , Nhat-Tuong Do-Tran , Ngoc-Hoang-Lam Le , Hong-Han Shuai , Ching-Chun Huang
Advancing Multimodal LLMs by Large-Scale 3D Visual Instruction Dataset Generation	Liu He , Xiao Zeng , Yizhi Song , Albert Chen , Lu Xia , Shashwat Verma , Sankalp Dayal , Min Sun , Cheng-Hao Kuo , Daniel Aliaga
Towards Photorealistic Style Transfer with Multimodal Guidance and Robustness to Content Images in Arbitrary Styles	Ruikai Zhou , Yating Liu , Yi Xu
Optimizing against Infeasible Inclusions from Data for Semantic Segmentation through Morphology	Shamik Basu , Luc Van Gool , Christos Sakaridis
ODEt(ODEl): Shortcutting the Time and the Length in Diffusion and Flow Models for Faster Sampling	Denis Gudovskiy , Wenzhao Zheng , Tomoyuki Okuno , Yohei Nakata , Kurt Keutzer
JOCA: Task-Driven Joint Optimisation of Camera Hardware and Adaptive Camera Control Algorithms	Chengyang Yan , Mitch Bryson , Donald Dansereau
BiPO: Bidirectional Partial Occlusion Network for Text-to-Motion Synthesis	Seong-Eun Hong , SooBin Lim , JuYeong Hwang , Minwook Chang , Hyeongyeop Kang
